name,size
<DirEntry '00807.001189-2021-13'>,4096
<DirEntry '00807.003957-2021-65'>,0
<DirEntry '00807.004002-2020-44'>,8192
<DirEntry '00807.007115-2020-00'>,0
<DirEntry '02001.019346-2020-59'>,4096
<DirEntry '02004.001356-1999-23'>,0
<DirEntry '02018.000865-2021-45'>,0
<DirEntry '02018.001072-2008-76'>,4096
<DirEntry '02018.003303-2020-72'>,4096
<DirEntry '02018.004568-1998-69'>,0
<DirEntry '02018.004730-2020-78'>,0
<DirEntry '02018.108053-2017-61'>,0
<DirEntry '02047.000693-2007-12'>,4096
<DirEntry '02047.000840-2014-75'>,4096
<DirEntry '02047.000895-2011-32'>,0
<DirEntry '02048.000787-2008-54'>,8192
<DirEntry 'analises_sr_geo_cousf'>,0
<DirEntry 'arrecadaIBAMA'>,0
<DirEntry 'benevides'>,0
<DirEntry 'cadeiaCustodia'>,28672
<DirEntry 'capacitacao2021'>,4096
<DirEntry 'cites'>,4096
<DirEntry 'corec'>,40960
<DirEntry 'cousf'>,4096
<DirEntry 'danoIndireto'>,0
<DirEntry 'denuncia'>,0
<DirEntry 'desaverbacao_rl'>,0
<DirEntry 'dof_taxonomia'>,8192
<DirEntry 'ebata20211004'>,0
<DirEntry 'embrapa_ibama'>,4096
<DirEntry 'estrada-UC'>,8192
<DirEntry 'Forest-cover-change-detection'>,0
<DirEntry 'Global-Level-Forest-Inventory'>,4096
<DirEntry 'Golf'>,0
<DirEntry 'livro_bediaga'>,0
<DirEntry 'monitoreo-de-bosques'>,4096
<DirEntry 'mrn'>,4096
<DirEntry 'OJN'>,0
<DirEntry 'orientacoes-normativas'>,4096
<DirEntry 'planaBio'>,4096
<DirEntry 'pmfs_concessao_pa'>,8192
<DirEntry 'PMFS_TI'>,0
<DirEntry 'Portarias_Nomeacao'>,0
<DirEntry 'pp_concessao_fed_PA'>,4096
<DirEntry 'QGIS_Templates'>,0
<DirEntry 'resexMestreLucindo'>,4096
<DirEntry 'rrx'>,4096
<DirEntry 'r_course_Oregon_State_university'>,0
<DirEntry 'r_forest_inventory'>,4096
<DirEntry 'r_IBM'>,0
<DirEntry 'r_john_hopkins'>,4096
<DirEntry 'samise'>,4096
<DirEntry 'sei'>,4096
<DirEntry 'SIG_PA'>,4096
<DirEntry 'sinaflor'>,0
<DirEntry 'teletrabalho'>,4096
<DirEntry 'Vistorias _FlonaAltamira_2018'>,0
