name,size
00807.001189-2021-13,4096
00807.003957-2021-65,0
00807.004002-2020-44,8192
00807.007115-2020-00,0
02001.019346-2020-59,4096
02004.001356-1999-23,0
02018.000865-2021-45,0
02018.001072-2008-76,4096
02018.003303-2020-72,4096
02018.004568-1998-69,0
02018.004730-2020-78,0
02018.108053-2017-61,0
02047.000693-2007-12,4096
02047.000840-2014-75,4096
02047.000895-2011-32,0
02048.000787-2008-54,8192
analises_sr_geo_cousf,0
arrecadaIBAMA,0
benevides,0
cadeiaCustodia,28672
capacitacao2021,4096
cites,4096
corec,40960
cousf,4096
danoIndireto,0
denuncia,0
desaverbacao_rl,0
dof_taxonomia,8192
ebata20211004,0
embrapa_ibama,4096
estrada-UC,8192
Forest-cover-change-detection,0
Global-Level-Forest-Inventory,4096
Golf,0
livro_bediaga,0
monitoreo-de-bosques,4096
mrn,4096
OJN,0
orientacoes-normativas,4096
planaBio,4096
pmfs_concessao_pa,8192
PMFS_TI,0
Portarias_Nomeacao,0
pp_concessao_fed_PA,4096
QGIS_Templates,0
resexMestreLucindo,4096
rrx,4096
r_course_Oregon_State_university,0
r_forest_inventory,4096
r_IBM,0
r_john_hopkins,4096
samise,4096
sei,4096
SIG_PA,4096
sinaflor,0
teletrabalho,4096
Vistorias _FlonaAltamira_2018,0
