name,size
<DirEntry '20211029Sei_Ibama_10977124Minuta_de_Resolucao_Conama.pdf'>,399726
<DirEntry '20211029Sei_Ibama_10977460_Nota_Tecnica_44_2021_Cousf_CGBIO_DBFLO.pdf'>,242474
<DirEntry '20211029_Sei_Ibama_9784013_Parecer_Tecnico_12021_CGBio_DBFlo.pdf'>,238838
<DirEntry 'acesso_siscom.txt'>,34
<DirEntry 'agrotoxicos-fiscalizacao_NT.pdf'>,886863
<DirEntry 'ANEXO_PORTARIA_443.csv'>,75765
<DirEntry 'ANEXO_PORTARIA_443.xls'>,156160
<DirEntry 'bloqueioDOF.pdf'>,682263
<DirEntry 'Calculo_Conversao_Seerado_Tora.xlsx'>,17505158
<DirEntry 'Capture.PNG'>,56396
<DirEntry 'CaptureEBATA.PNG'>,656709
<DirEntry 'Carta_Declividade_A3.qpt'>,134013
<DirEntry 'Carta_Hipsometrica_A3.qpt'>,133532
<DirEntry 'concessao_PA_PMFS.ods'>,4454
<DirEntry 'CONCESSOES_FLORESTAIS_PA.ods'>,11544
<DirEntry 'contatos_RT_Concessao_PA.ods'>,14381
<DirEntry 'CTF_valoracao_provas.pdf'>,685051
<DirEntry 'demandas_PT.txt'>,968
<DirEntry 'despacho_dificuldades_Teletrabalho.txt'>,7
<DirEntry 'desp_CNPSA_Licenciamento_Ambiental.pdf'>,914149
<DirEntry 'Diagnostico_da_Pesca_no_Para.pdf'>,292713
<DirEntry 'Dificuldades_SINAFLOR.txt'>,102
<DirEntry 'DOF.txt'>,100
<DirEntry 'emailMacacada.txt'>,2041
<DirEntry 'eq_flora.txt'>,1293
<DirEntry 'fator_cubicacao.odt'>,12843
<DirEntry 'Grupos_Ecofisiologicos.xlsx'>,8819
<DirEntry 'g_ut_umf4.csv'>,1199
<DirEntry 'Handroanthus_impetiginosus_SISTAXON.txt'>,1530
<DirEntry 'Homologacao_contratos_TI.txt'>,151
<DirEntry 'identificacao_botanica_pmfs_concessao_federal_pa.docx'>,25267
<DirEntry 'identificacao_botanica_pmfs_concessao_federal_PA.pdf'>,910043
<DirEntry 'if_upa7_umf1b_v3_xlsx.xlsx'>,4315028
<DirEntry 'Internet_supes-pa.txt'>,62
<DirEntry 'intimacao pessoal autuado atos constitutivos proc sancionador ambiental.pdf'>,705634
<DirEntry 'irregularidades_car.pdf'>,896713
<DirEntry 'Jurisdicao_aumpf.txt'>,83
<DirEntry 'laudo_tecnico_pmfs_umf_i_caxiuana.pdf'>,663998
<DirEntry 'Legislacao_Concessao_Florestal.txt'>,118
<DirEntry 'livrovermelho2013occurrences2016-08-23-1308.csv'>,69044008
<DirEntry 'Localiza_geral_A5.qpt'>,63757
<DirEntry 'Manifestacao_Regularidade_Ambiental_Fiscal.txt'>,957
<DirEntry 'Mapa_Localizacao_PA_A3.qpt'>,54283
<DirEntry 'MODIS.odt'>,12768
<DirEntry 'MT_3_2020_CGMOC_Rastreabilidade.pdf'>,831399
<DirEntry 'NegaPedidoQuesitos.txt'>,271
<DirEntry 'NT_28_COUSF_PP.pdf'>,1193609
<DirEntry 'of_aprovacao_pmfs_umf_i_caxiuana.pdf'>,749727
<DirEntry 'of_circ_e-carta.txt'>,27
<DirEntry 'Of_Circ_Viagem_Somente_SCDP_Aprovado.pdf'>,696933
<DirEntry 'Orientações sobre o prazo de resposta aos pedidos da Lei de Acesso à Informação.pdf'>,778546
<DirEntry 'Parecer_153_CONEP_CETAS___MEDICINA_VETERINARIA___responsabilidade_tecnica.pdf'>,10593219
<DirEntry 'Peixes_Ornamentais.txt'>,50
<DirEntry 'Perfis Usuários TREINA RR para capacita AC.ods'>,18855
<DirEntry 'pet8975decisao.pdf'>,635735
<DirEntry 'PLANABIO_2021 SUPES-PA (ROBSON).ods'>,6756
<DirEntry 'port2542_2020_reg_IBAMA.pdf'>,35109071
<DirEntry 'Port2595_2020_scdp.pdf'>,794613
"<DirEntry 'PORTARIA MMA Nº 414, DE 31 DE AGOSTO DE 2021 -Floresta e bioeconomia.pdf'>",83276
<DirEntry 'Processos_Referencia.txt'>,37
<DirEntry 'Proposta_Artigo_Indices_Vegetacao.docx'>,14590
<DirEntry 'pt_PRAD_sr.pdf'>,2033597
<DirEntry 'Renovacao_AUTEX.txt'>,890
<DirEntry 'repara_dano_ambiental_NT.pdf'>,715754
<DirEntry 'Reuniao_PMFS.txt'>,211
<DirEntry 'ru_fs306.pdf'>,174075
<DirEntry 'sei-protocolo-zip-varios-arquivos.txt'>,59
<DirEntry 'SEI_IBAMA - 11081455 - Plano de Trabalho.pdf'>,253436
<DirEntry 'SistemaCadastroVetores.pdf'>,684503
<DirEntry 'teleTrabalho.txt'>,27
<DirEntry 'txt_autex.txt'>,104
<DirEntry 'txt_renova_aut_pmfs.txt'>,140
<DirEntry 'upa_pa.dbf'>,54496
<DirEntry 'upa_pa.prj'>,145
<DirEntry 'upa_pa.shp'>,497872
<DirEntry 'upa_pa.shx'>,1140
<DirEntry 'WildFire.txt'>,84
